145:Благовещенка:Алтайский край:12,4
146:Большеречье:Омская область:12,3
147:Светлый:Саратовская область:12,3
148:Каменоломни:Ростовская область:12,2
149:Черлак:Омская область:12,2
150:Волоконовка:Белгородская область:12,2
151:Пограничный:Приморский край:12,2
152:Магдагачи:Амурская область:12,2
153:Серышево:Амурская область:12,1
154:Майский:Ростовская область:12,1
155:Сиверский:Ленинградская область:12,1
156:Кремёнки:Калужская область:12,1
157:Знаменка:Орловская область:12,0
158:Локоть:Брянская область:12,0
159:Земетчино:Пензенская область:12,0
160:Кандры:Республика Башкортостан:12,0
161:Сибирский:Алтайский край:12,0
162:Чердаклы:Ульяновская область:12,0
163:Марха:Республика Саха:12,0
164:Северный:Республика Коми:12,0
165:Дубинино:Красноярский край:12,0
166:Красково:Московская область:11,9
167:Емельяново:Красноярский край:11,9
168:Львовский:Московская область:11,9
169:Иловля:Волгоградская область:11,9
170:Редкино:Тверская область:11,8
171:Краснобродский:Кемеровская область:11,8
172:Хор:Хабаровский край:11,8
173:Мокшан:Пензенская область:11,8
174:Кадуй:Вологодская область:11,7
175:Красноусольский:Республика Башкортостан:11,7
176:Нижний Одес:Республика Коми:11,7
177:Агинское:Агинский Бурятский автономный округ:11,7
178:Кугеси:Чувашская Республика:11,6
179:Бажово:Челябинская область:11,6
180:Юрьевец:Владимирская область:11,6
181:Белиджи:Республика Дагестан:11,5
182:Прибрежный:Самарская область:11,5
183:Погар:Брянская область:11,4
184:Усть-Донецкий:Ростовская область:11,3
185:Плесецк:Архангельская область:11,3
186:Винзили:Тюменская область:11,2
187:Муромцево:Омская область:11,2
188:Троицкий:Свердловская область:11,2
189:Первомайский:Тульская область:11,2
190:Бисерть:Свердловская область:11,2
191:Уруссу:Республика Татарстан:11,2
192:Глубокий:Ростовская область:11,2
193:Старокамышинск:Челябинская область:11,2
194:Фряново:Московская область:11,1
195:Вырица:Ленинградская область:11,1
196:Баранчинский:Свердловская область:11,1
197:Верхняя Синячиха:Свердловская область:11,1
198:Надвоицы:Республика Карелия:11,0
199:Краснооктябрьский:Волгоградская область:11,0
200:Новоспасское:Ульяновская область:11,0
201:Псебай:Краснодарский край:11,0
202:Новая Игирма:Иркутская область:10,9
203:Колывань:Новосибирская область:10,9
204:Вурнары:Чувашская Республика:10,9
205:Кез:Удмуртская Республика:10,9
206:Междуреченский:Ханты-Мансийский автономный округ:10,9
207:Яйва:Пермский край:10,8
208:Пангоды:Ямало-Ненецкий автономный округ:10,8
209:Куйтун:Иркутская область:10,8
210:Архара:Амурская область:10,8
211:Михнево:Московская область:10,8
212:Белоярск:Алтайский край:10,8
213:Солнечный:Красноярский край:10,8
214:Советский:Республика Марий Эл:10,8
215:Сосновка:Тамбовская область:10,7
216:Чульман:Республика Саха:10,7
217:Первомайский:Челябинская область:10,7
218:Обухово:Московская область:10,7
219:Локомотивный:Челябинская область:10,7
220:Ноглики:Сахалинская область:10,7
221:Озерный:Тверская область:10,6
222:Мошково:Новосибирская область:10,6
223:Имени Морозова:Ленинградская область:10,6
224:Онохой:Республика Бурятия:10,6
225:Вахруши:Кировская область:10,6
226:Аютинский:Ростовская область:10,6
227:Белые Берега:Брянская область:10,6
228:Инжавино:Тамбовская область:10,5
229:Любинский:Омская область:10,5
230:Нижняя Мактама:Республика Татарстан:10,5
231:Таксимо:Республика Бурятия:10,5
232:Тульский:Республика Адыгея:10,5
233:Краснозерское:Новосибирская область:10,4
234:Базарный Карабулак:Саратовская область:10,4
235:Каа-Хем:Республика Тыва:10,4
236:Ракитное:Белгородская область:10,4
237:Правдинский:Московская область:10,4
238:Переяславка:Хабаровский край:10,4
239:Ордынское:Новосибирская область:10,4
240:Шаховская:Московская область:10,4
241:Углеуральский:Пермский край:10,4
242:Шерегеш:Кемеровская область:10,3
243:Ревда:Мурманская область:10,3
244:Новоподрезково:Московская область:10,3
245:Зубова Поляна:Республика Мордовия:10,3
246:Сосьва:Свердловская область:10,3
247:Серафимовский:Республика Башкортостан:10,3
248:Кормиловка:Омская область:10,2
249:Октябрьский:Челябинская область:10,2
250:Пышма:Свердловская область:10,2
251:Ярославский:Приморский край:10,2
252:Новомихайловский:Краснодарский край:10,2
253:Малиновка:Кемеровская область:10,2
254:Красный Октябрь:Владимирская область:10,2
255:Новониколаевский:Волгоградская область:10,2
256:Болшево:Московская область:10,2
257:Забайкальск:Читинская область:10,2
258:Добринка:Липецкая область:10,1
259:Октябрьский:Московская область:10,1
260:Малышева:Свердловская область:10,1
261:Ленинский:Тульская область:10,1
262:Ардатов:Нижегородская область:10,1
263:Октябрьский:Архангельская область:10,0
264:Шолоховский:Ростовская область:10,0
265:Панковка:Новгородская область:10,0
266:Гигант:Ростовская область:10,0
267:Первомайский:Московская область:10,0
268:Залари:Иркутская область:10,0
269:Октябрьский:Пермский край:10,0
270:Ишеевка:Ульяновская область:10,0
271:Жешарт:Республика Коми:10,0
272:Прохоровка:Белгородская область:10,0
273:Test:test:10
274:Test2:test2:20
273:Test3:test:10
274:Test4:test2:20
273:Test5:test:10
274:Test6:test2:20
273:Test7:test:10
274:Test8:test2:20
